Path,Name,Size (bytes),Size (human),Modified,Accessed,Created,Age (days),Last Access (days),Extension,Risk Score,Category,Duplicate Group
research_env/lib/python3.13/site-packages/torch/lib/libtorch_cpu.dylib,libtorch_cpu.dylib,213290816,203.4MB,2025-08-11 21:13:20.906255,2025-08-11 21:45:34.534739,2025-08-11 21:13:20.907137,5,5,.dylib,41.24,Large Files,
research_env/bin/python,python,52640,51.4KB,2025-07-05 19:13:15.444935,2025-08-17 12:12:12.589654,2025-07-17 20:26:43.775725,42,0,,23.47,Duplicate Files,Group_a1f6d9dc
research_env/bin/python3.13,python3.13,52640,51.4KB,2025-07-05 19:13:15.444935,2025-08-17 12:12:12.589654,2025-07-17 20:26:43.775725,42,0,.13,23.47,Duplicate Files,Group_a1f6d9dc
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/assetcatalog_output/thinned/Assets.car,Assets.car,1134959,1.1MB,2025-08-05 21:44:43.051960,2025-08-05 21:47:46.777103,2025-08-05 21:44:43.051960,11,11,.car,23.17,Duplicate Files,Group_7da54ef2
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/x86_64/Wellbeing_Log.swiftmodule,Wellbeing_Log.swiftmodule,266120,259.9KB,2025-08-05 21:49:31.824018,2025-08-05 21:49:31.846774,2025-08-05 21:49:31.824243,11,11,.swiftmodule,22.84,Duplicate Files,Group_b5ccaa76
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/arm64/Wellbeing_Log.swiftmodule,Wellbeing_Log.swiftmodule,266116,259.9KB,2025-08-05 21:49:31.823938,2025-08-05 21:49:31.846887,2025-08-05 21:49:31.824203,11,11,.swiftmodule,22.84,Duplicate Files,Group_8544688b
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/arm64/Wellbeing_Log.swiftsourceinfo,Wellbeing_Log.swiftsourceinfo,47804,46.7KB,2025-08-05 21:49:31.826098,2025-08-05 21:49:31.846749,2025-08-05 21:49:31.826260,11,11,.swiftsourceinfo,22.759999999999998,Duplicate Files,Group_2b54d2ba
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/x86_64/Wellbeing_Log.swiftsourceinfo,Wellbeing_Log.swiftsourceinfo,47804,46.7KB,2025-08-05 21:49:31.826146,2025-08-05 21:49:31.846527,2025-08-05 21:49:31.826324,11,11,.swiftsourceinfo,22.759999999999998,Duplicate Files,Group_7f2118cc
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/x86_64/Wellbeing Log-OutputFileMap.json,Wellbeing Log-OutputFileMap.json,33949,33.2KB,2025-08-05 21:44:42.436735,2025-08-05 21:44:42.746300,2025-08-05 21:44:42.436735,11,11,.json,22.75,Duplicate Files,Group_2e42afa7
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Objects-normal/arm64/Wellbeing Log-OutputFileMap.json,Wellbeing Log-OutputFileMap.json,33761,33.0KB,2025-08-05 21:44:42.437438,2025-08-05 21:44:42.656596,2025-08-05 21:44:42.437438,11,11,.json,22.75,Duplicate Files,Group_23a4fd4a
build/XCBuildData/04e07c40232e0032eae9fb70e5c25851.xcbuilddata/attachments/d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0,0B,2025-08-05 21:49:31.493694,2025-08-05 21:52:36.048745,2025-08-05 21:49:31.493694,11,11,,22.740000000000002,Duplicate Files,Group_e3b0c442
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Wellbeing Log.DependencyMetadataFileList,Wellbeing Log.DependencyMetadataFileList,0,0B,2025-08-05 21:44:42.435456,2025-08-05 21:44:42.435456,2025-08-05 21:44:42.435479,11,11,.dependencymetadatafilelist,22.740000000000002,Duplicate Files,Group_e3b0c442
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Wellbeing Log.DependencyStaticMetadataFileList,Wellbeing Log.DependencyStaticMetadataFileList,0,0B,2025-08-05 21:44:42.436171,2025-08-05 21:44:42.436171,2025-08-05 21:44:42.436331,11,11,.dependencystaticmetadatafilelist,22.740000000000002,Duplicate Files,Group_e3b0c442
build/Wellbeing Log.build/Debug-iphonesimulator/Wellbeing Log.build/Wellbeing Log-own-target-headers.hmap,Wellbeing Log-own-target-headers.hmap,121,121.0B,2025-08-05 21:44:42.436213,2025-08-05 21:44:42.700134,2025-08-05 21:44:42.436213,11,11,.hmap,22.740000000000002,Duplicate Files,Group_12ed03f0
